镇	Bns	O
坪	Mns	O
县	Ens	O
市	Bn	O
场	En	O
监	Bvn	O
督	Evn	O
管	Bn	O
理	Mn	O
局	En	O
关	Bp	O
于	Ep	O
1	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
的	Suj	O
通	Bn	O
告	En	O
。	Sw	O

本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

一	Sm	O
、	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O

（	Sw	O
一	Sm	O
）	Sw	O
抽	Bv	O
检	Ev	O
依	Bp	O
据	Ep	O

抽	Bv	O
检	Ev	O
依	Bp	O
据	Ep	O
是	Sv	O
《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Meng	O
2	Meng	O
7	Meng	O
6	Meng	O
0	Eeng	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
、	Sw	O
《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
食	Bn	O
品	En	O
中	Sf	O
污	Bn	O
染	Mn	O
物	En	O
限	Bn	O
量	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Meng	O
2	Meng	O
7	Meng	O
6	Meng	O
2	Eeng	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
2	Em	O
）	Sw	O
等	Su	O
标	Bn	O
准	En	O
及	Sc	O
产	Bn	O
品	En	O
明	Bv	O
示	Ev	O
标	Bn	O
准	En	O
和	Sc	O
指	Bn	O
标	En	O
的	Suj	O
要	Bv	O
求	Ev	O
。	Sw	O

（	Sw	O
二	Sm	O
）	Sw	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

1	Bm	O
.	Em	O
酱	Bv	O
腌	Mv	O
菜	Ev	O
抽	Bv	O
检	Ev	O
项	Bn	O
目	En	O
包	Bv	O
括	Ev	O
铅	Sn	O
、	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
、	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
、	Sw	O
对	Sp	O
羟	Bnz	O
基	Enz	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
乙	Bnz	O
酯	Enz	O
、	Sw	O
糖	Bnz	O
精	Mnz	O
钠	Enz	O
、	Sw	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
、	Sw	O
乙	Bn	O
酰	En	O
磺	Bnz	O
胺	Enz	O
酸	Bnz	O
钾	Enz	O
（	Sw	O
安	Bnr	O
赛	Mnr	O
蜜	Enr	O
）	Sw	O
、	Sw	O
合	Bv	O
成	Ev	O
着	Bn	O
色	Mn	O
剂	En	O
（	Sw	O
柠	Bn	O
檬	Mn	O
黄	En	O
、	Sw	O
苋	Bn	O
菜	En	O
红	Sa	O
、	Sw	O
胭	Bn	O
脂	Mn	O
红	En	O
、	Sw	O
日	Bz	O
落	Mz	O
黄	Ez	O
、	Sw	O
诱	Bv	O
惑	Ev	O
红	Sa	O
、	Sw	O
亮	Sv	O
蓝	Sa	O
）	Sw	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
、	Sw	O
亚	Bnz	O
硝	Mnz	O
酸	Mnz	O
盐	Enz	O
、	Sw	O
苏	Bnr	O
丹	Mnr	O
红	Enr	O
Ⅰ	Sw	O
-	Sw	O
Ⅳ	Sw	O
（	Sw	O
仅	Sd	O
辣	Bn	O
椒	En	O
和	Sc	O
配	Bn	O
料	En	O
中	Sf	O
含	Sv	O
辣	Bn	O
椒	En	O
的	Suj	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
）	Sw	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
、	Sw	O
致	Bn	O
病	Mn	O
菌	En	O
（	Sw	O
沙	Bnr	O
门	Mnr	O
氏	Mnr	O
菌	Enr	O
、	Sw	O
金	Bn	O
黄	Mn	O
色	En	O
葡	Bn	O
萄	Mn	O
球	Mn	O
菌	En	O
）	Sw	O
（	Sw	O
即	Bv	O
食	Ev	O
类	Sq	O
酱	Bv	O
腌	Mv	O
菜	Ev	O
检	Bvn	O
测	Evn	O
）	Sw	O
、	Sw	O
相	Bd	O
同	Ed	O
色	Bn	O
泽	En	O
着	Bn	O
色	Mn	O
剂	En	O
、	Sw	O
防	Bnz	O
腐	Mnz	O
剂	Enz	O
各	Br	O
自	Er	O
用	Bn	O
量	En	O
占	Sv	O
其	Sr	O
最	Ba	O
大	Ea	O
使	Bn	O
用	Mn	O
量	En	O
的	Suj	O
比	Bn	O
例	En	O
之	Su	O
和	Sc	O
。	Sw	O

2	Bm	O
.	Em	O
自	Bd	O
然	Ed	O
干	Sv	O
制	Bn	O
品	En	O
、	Sw	O
热	Bn	O
风	En	O
干	Ba	O
燥	Ea	O
蔬	Bn	O
菜	En	O
、	Sw	O
冷	Bnr	O
冻	Mnr	O
干	Mnr	O
燥	Enr	O
蔬	Bn	O
菜	En	O
、	Sw	O
蔬	Bn	O
菜	En	O
脆	Bn	O
片	En	O
蔬	Bn	O
菜	En	O
粉	Sn	O
及	Sc	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
项	Bn	O
目	En	O
包	Bv	O
括	Ev	O
酸	Bn	O
价	En	O
（	Sw	O
仅	Sd	O
油	Bn	O
炸	En	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
）	Sw	O
、	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
（	Sw	O
仅	Sd	O
油	Bn	O
炸	En	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
）	Sw	O
、	Sw	O
铅	Sn	O
、	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
、	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
、	Sw	O
糖	Bnz	O
精	Mnz	O
钠	Enz	O
、	Sw	O
环	Bnz	O
己	Mnz	O
基	Enz	O
氨	Bn	O
基	En	O
磺	Bnz	O
酸	Mnz	O
钠	Enz	O
（	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
）	Sw	O
、	Sw	O
乙	Bn	O
酰	En	O
磺	Bnz	O
胺	Enz	O
酸	Bnz	O
钾	Enz	O
（	Sw	O
安	Bnr	O
赛	Mnr	O
蜜	Enr	O
）	Sw	O
、	Sw	O
合	Bv	O
成	Ev	O
着	Bn	O
色	Mn	O
剂	En	O
（	Sw	O
柠	Bn	O
檬	Mn	O
黄	En	O
、	Sw	O
咸	Bn	O
菜	En	O
黄	Sa	O
、	Sw	O
胭	Bn	O
脂	Mn	O
红	En	O
、	Sw	O
日	Bz	O
落	Mz	O
黄	Ez	O
、	Sw	O
诱	Bv	O
惑	Ev	O
红	Sa	O
、	Sw	O
亮	Sv	O
蓝	Sa	O
）	Sw	O
、	Sw	O
抗	Bnz	O
氧	Mnz	O
化	Mnz	O
剂	Enz	O
（	Sw	O
B	Beng	O
H	Meng	O
A	Eeng	O
、	Sw	O
B	Beng	O
H	Meng	O
T	Eeng	O
、	Sw	O
T	Beng	O
B	Meng	O
H	Meng	O
Q	Eeng	O
）	Sw	O
（	Sw	O
仅	Sd	O
油	Bn	O
炸	En	O
产	Bn	O
品	En	O
检	Bvn	O
测	Evn	O
）	Sw	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
、	Sw	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
、	Sw	O
致	Bn	O
病	Mn	O
菌	En	O
（	Sw	O
沙	Bnr	O
门	Mnr	O
氏	Mnr	O
菌	Enr	O
、	Sw	O
金	Bn	O
黄	Mn	O
色	En	O
葡	Bn	O
萄	Mn	O
球	Mn	O
菌	En	O
）	Sw	O
（	Sw	O
仅	Sd	O
即	Bv	O
食	Ev	O
类	Bn	O
产	Mn	O
品	En	O
检	Bvn	O
测	Evn	O
）	Sw	O
